File Version,BWSpec4.11_1
152,805.65,12412.34,327.16,1495.0000,65535.0000,2869.0000,208.2525,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
153,805.80,12410.03,329.48,1364.0000,65535.0000,2749.0000,217.7475,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
154,805.95,12407.71,331.79,1497.0000,65535.0000,2840.0000,174.3121,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
155,806.10,12405.40,334.10,1391.0000,65535.0000,2746.0000,184.9456,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
156,806.25,12403.09,336.41,1423.0000,65535.0000,2749.0000,154.6472,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
157,806.40,12400.78,338.72,1535.0000,65535.0000,2874.0000,166.4161,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
158,806.55,12398.47,341.03,1567.0000,65535.0000,2908.0000,167.2515,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
159,806.70,12396.16,343.34,1470.0000,65535.0000,2849.0000,204.1527,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
160,806.85,12393.85,345.65,1696.0000,65535.0000,3046.0000,174.1189,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
161,807.00,12391.55,347.96,1705.0000,65535.0000,3061.0000,179.1494,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
162,807.15,12389.24,350.26,1581.0000,65535.0000,3015.0000,256.2433,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
163,807.30,12386.94,352.57,1443.0000,65535.0000,2886.0000,264.3999,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
164,807.45,12384.63,354.87,1795.0000,65535.0000,3246.0000,271.6185,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
165,807.60,12382.33,357.17,1181.0000,65535.0000,2626.0000,264.8982,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
166,807.75,12380.03,359.47,1416.0000,65535.0000,2948.0000,351.2382,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
167,807.90,12377.73,361.77,1338.0000,65535.0000,2866.0000,346.6379,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
168,808.05,12375.43,364.07,1644.0000,65535.0000,3143.0000,317.0964,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
169,808.20,12373.13,366.37,1492.0000,65535.0000,3008.0000,333.6130,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
170,808.35,12370.83,368.67,1538.0000,65535.0000,3064.0000,343.1869,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
171,808.50,12368.54,370.97,1679.0000,65535.0000,3170.0000,307.8173,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
172,808.65,12366.24,373.26,1664.0000,65535.0000,3141.0000,293.5034,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
173,808.80,12363.95,375.56,1687.0000,65535.0000,3256.0000,385.2446,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
174,808.95,12361.65,377.85,1558.0000,65535.0000,3092.0000,350.0399,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
175,809.10,12359.36,380.14,1499.0000,65535.0000,3087.0000,403.8887,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
176,809.25,12357.07,382.43,1508.0000,65535.0000,3087.0000,394.7901,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
