File Version,BWSpec4.11_1
125,801.59,12475.21,264.29,0.0000,65535.0000,3573.0000,150.7591,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
126,801.74,12472.87,266.63,0.0000,65535.0000,3637.0000,205.8575,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
127,801.89,12470.53,268.97,0.0000,65535.0000,3847.0000,407.1119,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
128,802.04,12468.19,271.31,0.0000,65535.0000,3659.0000,210.5217,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
129,802.19,12465.85,273.65,0.0000,65535.0000,3925.0000,468.0860,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
130,802.34,12463.51,275.99,0.0000,65535.0000,3645.0000,179.8041,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
131,802.49,12461.18,278.33,0.0000,65535.0000,3556.0000,82.6754,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
132,802.64,12458.84,280.66,0.0000,65535.0000,3888.0000,406.6991,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
133,802.79,12456.51,283.00,0.0000,65535.0000,3454.0000,-35.1256,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
134,802.94,12454.17,285.33,0.0000,65535.0000,3888.0000,391.2007,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
135,803.09,12451.84,287.66,0.0000,65535.0000,3927.0000,422.6774,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
136,803.24,12449.51,289.99,0.0000,65535.0000,3717.0000,205.3040,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
137,803.39,12447.18,292.32,0.0000,65535.0000,3724.0000,205.0800,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
138,803.55,12444.85,294.65,0.0000,65535.0000,3820.0000,294.0049,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
139,803.70,12442.52,296.98,0.0000,65535.0000,3627.0000,94.0781,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
140,803.85,12440.19,299.31,0.0000,65535.0000,3956.0000,416.2993,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
141,804.00,12437.87,301.64,0.0000,65535.0000,3597.0000,50.6678,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
142,804.15,12435.54,303.96,0.0000,65535.0000,3681.0000,128.1831,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
143,804.30,12433.22,306.29,0.0000,65535.0000,3577.0000,17.8444,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
144,804.45,12430.89,308.61,0.0000,65535.0000,3782.0000,216.6510,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
145,804.60,12428.57,310.93,0.0000,65535.0000,3908.0000,336.6019,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
146,804.75,12426.25,313.25,0.0000,65535.0000,3802.0000,224.6961,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
147,804.90,12423.93,315.57,0.0000,65535.0000,4124.0000,540.9327,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
148,805.05,12421.61,317.89,0.0000,65535.0000,3693.0000,104.3109,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
